Crop,Area,Production,Yield
Rice,127.8,109.6,857.59
Rice,129.8,89.4,688.75
Rice,135.7,90.9,669.86
Rice,140.4,110.1,784.19
Rice,138.9,57.4,413.25
Rice,146.1,96.8,662.56
Rice,145.0,59.0,406.9
Rice,147.0,97.0,659.86
Rice,150.6,104.5,693.89
Rice,149.4,101.1,676.71
Rice,156.5,123.1,786.58
Rice,155.3,87.2,561.49
Rice,158.5,92.8,585.49
Rice,162.7,129.0,792.87
Rice,164.8,140.3,851.33
Rice,167.5,118.5,707.46
Rice,167.4,136.8,817.2
Rice,173.8,106.5,612.77
Rice,173.9,123.2,708.45
Rice,179.1,166.5,929.65
Rice,175.2,63.2,360.73
Rice,186.0,142.4,765.59
Rice,184.2,97.6,529.86
Rice,189.9,147.4,776.2
Rice,192.38,134.12,697.16
Rice,193.13,142.17,736.14
Rice,192.71,129.68,672.93
Rice,193.3,93.26,482.46
Rice,194.1,90.35,465.48
Rice,180.1,106.2,589.67
Rice,191.1,157.5,824.18
Rice,198.7,201.8,1015.6
Rice,210.44,212.69,1010.69
Rice,212.68,242.15,1138.56
Rice,209.0,274.0,1311.0
Rice,215.0,365.33,1699.21
Rice,227.0,440.66,1941.23
Rice,215.1,689.45,3205.25
Rice,15.9,10.6,666.67
Rice,15.3,1.6,104.58
Rice,15.3,9.5,620.92
Rice,15.2,7.3,480.26
Rice,15.1,9.0,596.03
Rice,15.1,11.6,768.21
Rice,14.9,7.7,516.78
Rice,15.3,13.1,856.21
Rice,15.0,7.0,466.67
Rice,15.0,10.0,666.67
Rice,15.0,9.2,613.33
Rice,13.0,7.2,553.85
Rice,11.7,9.6,820.51
Rice,11.5,7.2,626.09
Rice,10.9,6.4,587.16
Rice,10.5,6.8,647.62
Rice,9.1,5.6,615.38
Rice,9.2,4.1,445.65
Rice,8.3,6.0,722.89
Rice,8.7,5.7,655.17
Rice,8.6,5.3,616.28
Rice,8.7,6.2,712.64
Rice,9.8,5.3,540.82
Rice,9.6,5.0,520.83
Rice,9.4,3.4,361.7
Rice,9.7,6.0,618.56
Rice,9.5,5.41,569.47
Rice,8.6,4.55,529.07
Rice,8.37,4.3,513.74
Rice,6.6,2.38,360.61
Rice,6.4,2.24,350.0
Rice,6.0,3.7,616.67
Rice,6.0,4.5,750.0
Rice,3.4,2.7,794.12
Rice,5.26,3.33,633.08
Rice,4.78,2.09,437.24
Rice,5.0,5.33,1066.0
Rice,7.0,2.0,285.71
Rice,6.0,6.0,1000.0
Rice,5.06,5.69,1124.51
Rice,52.0,30.7,590.38
Rice,52.2,29.8,570.88
Rice,50.5,27.5,544.55
Rice,50.0,23.6,472.0
Rice,49.6,30.7,618.95
Rice,50.5,37.0,732.67
Rice,51.1,24.4,477.5
Rice,51.4,48.0,933.85
Rice,52.0,28.0,538.46
Rice,52.0,41.0,788.46
Rice,52.5,30.2,575.24
Rice,53.3,32.5,609.76
Rice,53.8,43.4,806.69
Rice,53.2,23.9,449.25
Rice,53.6,37.1,692.16
Rice,53.2,40.0,751.88
Rice,53.2,40.5,761.28
Rice,53.2,28.0,526.32
Rice,52.5,35.1,668.57
Rice,52.6,34.7,659.7
Rice,53.1,36.6,689.27
Rice,53.3,44.5,834.9
Rice,54.0,23.0,425.93
Rice,55.1,34.4,624.32
Rice,51.9,15.1,290.94
Rice,52.6,41.0,779.47
Rice,53.23,36.55,686.64
Rice,53.3,34.4,645.4
Rice,53.26,28.78,540.37
Rice,53.9,20.53,380.89
Rice,56.3,28.64,508.7
Rice,55.6,37.5,674.46
Rice,50.2,51.9,1033.86
Rice,55.8,59.5,1066.31
Rice,56.3,55.93,993.43
Rice,55.63,62.31,1120.08
Rice,66.0,70.67,1070.76
Rice,73.0,82.67,1132.47
Rice,80.0,150.0,1875.0
Rice,75.73,126.22,1666.71
Rice,28.8,15.8,548.61
Rice,28.2,0.9,31.91
Rice,28.9,14.4,498.27
Rice,28.6,10.9,381.12
Rice,26.5,14.3,539.62
Rice,29.1,19.6,673.54
Rice,28.7,13.4,466.9
Rice,30.6,23.4,764.71
Rice,32.0,15.0,468.75
Rice,29.0,20.0,689.66
Rice,31.6,28.7,908.23
Rice,30.0,14.3,476.67
Rice,27.4,25.5,930.66
Rice,26.0,19.3,742.31
Rice,25.3,23.6,932.81
Rice,23.4,19.0,811.97
Rice,23.0,19.7,856.52
Rice,21.4,8.8,411.21
Rice,22.5,19.8,880.0
Rice,21.8,18.2,834.86
Rice,21.2,16.4,773.58
Rice,20.3,19.8,975.37
Rice,22.7,15.3,674.01
Rice,23.2,16.0,689.66
Rice,21.5,7.3,339.53
Rice,22.9,19.3,842.79
Rice,19.89,9.38,471.59
Rice,18.37,9.02,491.02
Rice,14.49,5.72,394.75
Rice,11.7,1.32,112.82
Rice,12.9,4.82,373.64
Rice,12.7,5.2,409.45
Rice,12.0,5.4,450.0
Rice,11.7,8.5,726.5
Rice,11.77,5.6,475.79
Rice,11.41,4.01,351.45
Rice,13.0,5.33,410.0
Rice,6.0,0.67,111.67
Rice,6.0,6.0,1000.0
Rice,4.56,1.64,359.65
Rice,21.2,16.5,778.3
Rice,19.7,0.2,10.15
Rice,19.6,15.2,775.51
Rice,19.5,11.2,574.36
Rice,15.6,12.4,794.87
Rice,19.8,19.9,1005.05
Rice,20.0,14.0,700.0
Rice,21.5,23.1,1074.42
Rice,22.0,10.0,454.55
Rice,20.0,15.0,750.0
Rice,22.3,16.4,735.43
Rice,19.0,13.6,715.79
Rice,20.0,18.7,935.0
Rice,19.6,12.7,647.96
Rice,19.8,16.1,813.13
Rice,19.4,16.2,835.05
Rice,20.2,18.1,896.04
Rice,19.3,8.4,435.23
Rice,18.9,16.8,888.89
Rice,19.9,13.9,698.49
Rice,20.1,15.8,786.07
Rice,19.5,20.4,1046.15
Rice,18.7,8.4,449.2
Rice,17.4,11.9,683.91
Rice,14.8,6.6,445.95
Rice,16.2,13.9,858.02
Rice,15.68,10.42,664.54
Rice,15.08,9.7,643.24
Rice,11.87,5.02,422.91
Rice,11.3,2.38,210.62
Rice,11.3,4.88,431.86
Rice,9.7,4.4,453.61
Rice,8.9,5.5,617.98
Rice,9.1,7.9,868.13
Rice,5.79,2.17,374.78
Rice,5.37,4.75,884.54
Rice,10.0,8.67,867.0
Rice,8.0,2.67,333.75
Rice,8.0,8.66,1082.5
Rice,6.33,2.98,470.77
Rice,57.4,24.7,430.31
Rice,51.4,0.5,9.73
Rice,54.0,23.9,442.59
Rice,53.5,18.1,338.32
Rice,53.1,21.3,401.13
Rice,56.4,28.8,510.64
Rice,37.2,9.1,244.62
Rice,50.3,35.4,703.78
Rice,54.0,21.0,388.89
Rice,36.0,24.0,666.67
Rice,50.8,30.0,590.55
Rice,48.8,28.9,592.21
Rice,55.6,44.0,791.37
Rice,58.0,24.4,420.69
Rice,58.5,35.1,600.0
Rice,59.0,33.1,561.02
Rice,61.4,40.7,662.87
Rice,61.7,23.5,380.88
Rice,59.1,34.7,587.14
Rice,62.6,40.3,643.77
Rice,58.7,34.5,587.73
Rice,64.2,47.3,736.76
Rice,62.5,23.1,369.6
Rice,63.2,34.6,547.47
Rice,60.9,19.7,323.48
Rice,59.5,27.3,458.82
Rice,62.85,24.88,395.86
Rice,60.75,37.7,620.58
Rice,56.22,25.5,453.58
Rice,49.8,15.31,307.43
Rice,57.1,29.37,514.36
Rice,58.3,28.6,490.57
Rice,53.7,51.6,960.89
Rice,61.3,61.0,995.11
Rice,63.64,64.91,1019.96
Rice,80.65,91.51,1134.66
Rice,56.0,76.67,1369.11
Rice,55.0,17.33,315.09
Rice,69.0,179.33,2598.99
Rice,58.4,140.2,2400.68
Rice,119.9,57.4,478.73
Rice,115.0,3.4,29.57
Rice,117.8,60.0,509.34
Rice,121.7,66.3,544.78
Rice,115.6,59.8,517.3
Rice,119.1,59.7,501.26
Rice,109.0,41.7,382.57
Rice,124.0,71.4,575.81
Rice,113.0,46.0,407.08
Rice,52.0,22.0,423.08
Rice,129.3,55.6,430.01
Rice,102.6,53.2,518.52
Rice,120.6,115.8,960.2
Rice,117.3,35.9,306.05
Rice,121.4,69.6,573.31
Rice,112.8,70.1,621.45
Rice,122.0,108.6,890.16
Rice,121.0,84.6,699.17
Rice,123.5,88.8,719.03
Rice,123.2,62.4,506.49
Rice,125.5,123.7,985.66
Rice,135.0,80.1,593.33
Rice,134.8,74.0,548.96
Rice,145.4,136.6,939.48
Rice,140.7,96.2,683.72
Rice,147.1,138.2,939.5
Rice,141.56,89.53,632.45
Rice,143.32,138.12,963.72
Rice,137.69,89.17,647.61
Rice,131.6,45.54,346.05
Rice,136.9,88.24,644.56
Rice,124.9,79.8,638.91
Rice,102.1,67.5,661.12
Rice,120.4,141.8,1177.74
Rice,123.51,199.65,1616.47
Rice,119.62,214.11,1789.92
Rice,136.0,246.0,1808.82
Rice,121.0,114.67,947.69
Rice,126.0,352.0,2793.65
Rice,121.3,625.9,5159.93
Rice,88.7,45.1,508.46
Rice,80.7,5.2,64.44
Rice,85.9,44.6,519.21
Rice,84.7,32.8,387.25
Rice,77.9,24.7,317.07
Rice,89.5,53.2,594.41
Rice,85.1,37.1,435.96
Rice,88.0,62.1,705.68
Rice,83.0,45.0,542.17
Rice,57.0,26.0,456.14
Rice,95.4,40.3,422.43
Rice,94.1,42.9,455.9
Rice,94.4,55.4,586.86
Rice,93.3,43.5,466.24
Rice,96.7,45.5,470.53
Rice,95.6,48.3,505.23
Rice,103.0,70.5,684.47
Rice,105.0,40.9,389.52
Rice,102.4,53.3,520.51
Rice,105.8,43.8,413.99
Rice,106.9,65.3,610.85
Rice,117.7,82.9,704.33
Rice,119.9,52.5,437.86
Rice,124.7,88.9,712.91
Rice,116.1,72.2,621.88
Rice,122.1,130.0,1064.7
Rice,121.76,84.41,693.25
Rice,124.63,91.89,737.3
Rice,127.04,103.52,814.86
Rice,122.6,53.0,432.3
Rice,122.4,48.11,393.06
Rice,116.4,73.4,630.58
Rice,102.5,91.3,890.73
Rice,87.8,84.5,962.41
Rice,115.75,238.24,2058.23
Rice,116.25,172.7,1485.59
Rice,100.0,126.0,1260.0
Rice,118.0,137.33,1163.81
Rice,118.0,348.0,2949.15
Rice,113.95,233.5,2049.14
Rice,93.2,36.6,392.7
Rice,80.5,1.9,23.6
Rice,86.0,37.3,433.72
Rice,84.4,28.4,336.49
Rice,68.4,24.6,359.65
Rice,84.5,41.4,489.94
Rice,61.6,16.2,262.99
Rice,80.8,47.9,592.82
Rice,82.0,30.0,365.85
Rice,42.0,15.0,357.14
Rice,91.0,32.8,360.44
Rice,89.4,38.7,432.89
Rice,88.2,51.9,588.44
Rice,87.0,30.7,352.87
Rice,84.6,33.9,400.71
Rice,77.8,34.3,440.87
Rice,87.5,44.3,506.29
Rice,88.3,29.3,331.82
Rice,82.8,35.3,426.33
Rice,90.8,45.9,505.51
Rice,82.8,39.4,475.85
Rice,101.6,60.5,595.47
Rice,101.2,29.1,287.55
Rice,112.5,116.1,1032.0
Rice,102.0,67.3,659.8
Rice,102.4,97.4,951.17
Rice,102.35,106.31,1038.69
Rice,103.74,123.3,1188.55
Rice,94.92,60.92,641.8
Rice,89.7,22.37,249.39
Rice,90.3,39.01,432.0
Rice,82.6,53.5,647.7
Rice,71.7,74.3,1036.26
Rice,82.4,135.9,1649.27
Rice,85.38,197.67,2315.18
Rice,82.07,188.56,2297.55
Rice,104.0,201.33,1935.87
Rice,104.0,238.0,2288.46
Rice,120.0,393.33,3277.75
Rice,132.0,324.8,2460.61
Rice,210.0,149.4,711.43
Rice,195.5,23.2,118.67
Rice,205.8,168.2,817.3
Rice,206.6,136.5,660.7
Rice,202.1,125.6,621.47
Rice,213.5,165.3,774.24
Rice,215.1,71.1,330.54
Rice,220.2,170.9,776.11
Rice,221.0,160.0,723.98
Rice,214.0,138.0,644.86
Rice,220.0,175.4,797.27
Rice,223.8,146.7,655.5
Rice,225.8,175.1,775.47
Rice,224.4,107.4,478.61
Rice,228.1,154.0,675.14
Rice,229.5,180.8,787.8
Rice,234.8,232.6,990.63
Rice,237.6,174.2,733.16
Rice,237.5,183.7,773.47
Rice,244.4,152.9,625.61
Rice,245.6,171.0,696.25
Rice,255.5,224.2,877.5
Rice,244.5,156.4,639.67
Rice,251.0,212.3,845.82
Rice,245.9,121.1,492.48
Rice,249.7,194.4,778.53
Rice,254.81,144.48,567.01
Rice,254.5,250.39,983.85
Rice,253.22,208.91,825.01
Rice,254.6,100.06,393.01
Rice,253.0,149.96,592.73
Rice,236.0,165.9,702.97
Rice,236.6,227.1,959.85
Rice,258.6,353.7,1367.75
Rice,257.73,383.9,1489.54
Rice,257.18,484.88,1885.37
Rice,269.0,510.67,1898.4
Rice,229.0,378.0,1650.66
Rice,276.0,583.32,2113.48
Rice,240.33,389.9,1622.35
Rice,27.4,34.0,1240.88
Rice,25.8,21.1,817.83
Rice,27.8,36.4,1309.35
Rice,24.4,21.9,897.54
Rice,21.6,28.2,1305.56
Rice,20.7,28.7,1386.47
Rice,21.2,17.1,806.6
Rice,21.1,29.5,1398.1
Rice,21.0,33.0,1571.43
